domain,concepts,avg_topk_jaccard,avg_top1_consistency,avg_score_corr_ticker_pearson,avg_score_corr_ticker_spearman,avg_rank_score_corr,avg_score_gap_delta,avg_score_spread,avg_tie_bucket_jaccard
china,3,0.5599,0.6667,-0.0019,0.5869,0.8771,0.0273,0.0318,0.6715
commodity,3,0.6713,0.5,0.2251,0.3102,0.8736,0.0264,0.0569,0.4223
credit,3,0.5359,0.5333,-0.2652,0.1058,0.914,0.0029,0.0063,0.521
crypto,3,0.4807,0.6,-0.2632,0.1366,0.9451,0.0029,0.0088,0.5599
equity,3,0.4965,0.8333,-0.2491,0.1517,0.8966,0.003,0.0066,0.494
fx,3,0.5895,0.6,-0.1421,0.3549,0.8848,0.004,0.0085,0.563
money_market,3,0.6528,0.5,-0.1441,0.1968,0.9066,0.0036,0.007,0.5936
rates,3,0.6995,0.9333,0.0954,0.574,0.9422,0.0044,0.0118,0.5477
tech,3,0.433,0.7667,-0.3189,0.1353,0.9411,0.003,0.0102,0.599
us_macro,3,0.5616,0.9,-0.0893,0.4632,0.9072,0.0038,0.0102,0.4954
